transaction_date,total_transactions,fraud_transactions,fraud_rate
2024-01-01,999,19,0.019
2024-01-02,947,16,0.0169
2024-01-03,1015,21,0.0207
2024-01-04,983,19,0.0193
2024-01-05,972,22,0.0226
2024-01-06,970,22,0.0227
2024-01-07,946,18,0.019
2024-01-08,1027,26,0.0253
2024-01-09,952,22,0.0231
2024-01-10,967,25,0.0259
2024-01-11,1028,24,0.0233
2024-01-12,1006,20,0.0199
2024-01-13,973,27,0.0277
2024-01-14,1004,23,0.0229
2024-01-15,997,25,0.0251
2024-01-16,997,16,0.016
2024-01-17,967,19,0.0196
2024-01-18,1035,16,0.0155
2024-01-19,994,30,0.0302
2024-01-20,997,22,0.0221
2024-01-21,1029,13,0.0126
2024-01-22,965,25,0.0259
2024-01-23,1026,18,0.0175
2024-01-24,996,27,0.0271
2024-01-25,963,23,0.0239
2024-01-26,1021,25,0.0245
2024-01-27,912,15,0.0164
2024-01-28,990,14,0.0141
2024-01-29,957,30,0.0313
2024-01-30,979,29,0.0296
2024-01-31,991,14,0.0141
2024-02-01,1017,35,0.0344
2024-02-02,1025,25,0.0244
2024-02-03,962,25,0.026
2024-02-04,956,19,0.0199
2024-02-05,1022,22,0.0215
2024-02-06,1019,17,0.0167
2024-02-07,977,11,0.0113
2024-02-08,1005,32,0.0318
2024-02-09,974,21,0.0216
2024-02-10,961,23,0.0239
2024-02-11,949,24,0.0253
2024-02-12,963,24,0.0249
2024-02-13,958,20,0.0209
2024-02-14,978,16,0.0164
2024-02-15,985,22,0.0223
2024-02-16,993,24,0.0242
2024-02-17,1001,20,0.02
2024-02-18,1035,21,0.0203
2024-02-19,1033,25,0.0242
2024-02-20,1003,21,0.0209
2024-02-21,1035,18,0.0174
2024-02-22,966,30,0.0311
2024-02-23,995,26,0.0261
2024-02-24,982,19,0.0193
2024-02-25,961,24,0.025
2024-02-26,940,20,0.0213
2024-02-27,979,22,0.0225
2024-02-28,940,18,0.0191
2024-02-29,972,27,0.0278
2024-03-01,990,12,0.0121
2024-03-02,1043,32,0.0307
2024-03-03,980,20,0.0204
2024-03-04,921,21,0.0228
2024-03-05,992,16,0.0161
2024-03-06,968,22,0.0227
2024-03-07,941,21,0.0223
2024-03-08,954,15,0.0157
2024-03-09,942,27,0.0287
2024-03-10,973,21,0.0216
2024-03-11,967,28,0.029
2024-03-12,934,23,0.0246
2024-03-13,969,22,0.0227
2024-03-14,991,19,0.0192
2024-03-15,982,17,0.0173
2024-03-16,966,31,0.0321
2024-03-17,999,23,0.023
2024-03-18,1049,29,0.0276
2024-03-19,972,17,0.0175
2024-03-20,946,17,0.018
2024-03-21,1025,24,0.0234
2024-03-22,893,21,0.0235
2024-03-23,940,29,0.0309
2024-03-24,967,15,0.0155
2024-03-25,1030,25,0.0243
2024-03-26,969,24,0.0248
2024-03-27,950,19,0.02
2024-03-28,997,24,0.0241
2024-03-29,917,18,0.0196
2024-03-30,999,15,0.015
2024-03-31,993,30,0.0302
2024-04-01,903,14,0.0155
2024-04-02,976,22,0.0225
2024-04-03,983,17,0.0173
2024-04-04,923,11,0.0119
2024-04-05,965,23,0.0238
2024-04-06,954,21,0.022
2024-04-07,966,21,0.0217
2024-04-08,971,23,0.0237
2024-04-09,1009,16,0.0159
2024-04-10,961,24,0.025
2024-04-11,942,26,0.0276
2024-04-12,980,26,0.0265
2024-04-13,971,26,0.0268
2024-04-14,977,24,0.0246
2024-04-15,967,30,0.031
2024-04-16,1015,23,0.0227
2024-04-17,938,20,0.0213
2024-04-18,975,25,0.0256
2024-04-19,1017,19,0.0187
2024-04-20,1000,16,0.016
2024-04-21,994,21,0.0211
2024-04-22,1051,22,0.0209
2024-04-23,994,24,0.0241
2024-04-24,1018,21,0.0206
2024-04-25,931,20,0.0215
2024-04-26,979,17,0.0174
2024-04-27,1017,26,0.0256
2024-04-28,944,19,0.0201
2024-04-29,1002,17,0.017
2024-04-30,1000,25,0.025
2024-05-01,944,22,0.0233
2024-05-02,927,19,0.0205
2024-05-03,954,26,0.0273
2024-05-04,1016,26,0.0256
2024-05-05,1006,33,0.0328
2024-05-06,956,15,0.0157
2024-05-07,1032,24,0.0233
2024-05-08,1011,23,0.0227
2024-05-09,992,26,0.0262
2024-05-10,1039,30,0.0289
2024-05-11,996,24,0.0241
2024-05-12,975,17,0.0174
2024-05-13,985,10,0.0102
2024-05-14,968,29,0.03
2024-05-15,999,19,0.019
2024-05-16,973,14,0.0144
2024-05-17,945,24,0.0254
2024-05-18,977,18,0.0184
2024-05-19,1000,25,0.025
2024-05-20,944,12,0.0127
2024-05-21,1021,26,0.0255
2024-05-22,966,28,0.029
2024-05-23,1044,27,0.0259
2024-05-24,953,27,0.0283
2024-05-25,948,19,0.02
2024-05-26,1021,23,0.0225
2024-05-27,1012,20,0.0198
2024-05-28,985,16,0.0162
2024-05-29,952,16,0.0168
2024-05-30,1021,22,0.0215
2024-05-31,972,22,0.0226
2024-06-01,953,23,0.0241
2024-06-02,974,19,0.0195
2024-06-03,976,23,0.0236
2024-06-04,1035,29,0.028
2024-06-05,1027,32,0.0312
2024-06-06,1039,20,0.0192
2024-06-07,1030,23,0.0223
2024-06-08,937,21,0.0224
2024-06-09,1016,15,0.0148
2024-06-10,1039,30,0.0289
2024-06-11,1001,23,0.023
2024-06-12,1018,18,0.0177
2024-06-13,1008,23,0.0228
2024-06-14,1005,16,0.0159
2024-06-15,966,25,0.0259
2024-06-16,969,24,0.0248
2024-06-17,961,29,0.0302
2024-06-18,1028,27,0.0263
2024-06-19,973,17,0.0175
2024-06-20,951,22,0.0231
2024-06-21,971,21,0.0216
2024-06-22,998,20,0.02
